store_id,Date,Total_Sales,Free Delivery_Require Purchase,Free Delivery_Product,Free Delivery_Promo_Active,Overall Discount_Require Purchase,Overall Discount_Product,Overall Discount_Promo_Active,Product Discount_Require Purchase,Product Discount_Product,Product Discount_Promo_Active,Free Product_Require Purchase,Free Product_Product,Free Product_Promo_Active,Points Bonus_Require Purchase,Points Bonus_Product,Points Bonus_Promo_Active
14,2024-06-13,937.21,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-06-14,782.54,Yes,Delivery,1,,,0,Yes,Ice Cream,1,,,0,,,0
14,2024-06-15,140.39,Yes,Delivery,1,,,0,Yes,Ice Cream,1,,,0,,,0
14,2024-06-16,204.16,Yes,Delivery,1,,,0,Yes,Ice Cream,1,,,0,,,0
14,2024-06-17,616.26,Yes,Delivery,1,,,0,Yes,Ice Cream,1,,,0,,,0
14,2024-06-18,622.79,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-06-19,113.21,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-06-20,649.62,,,0,,,0,,,0,No,Ice Cream,1,,,0
14,2024-06-21,504.55,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-06-22,324.26,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-06-23,323.36,Yes,Delivery,1,Yes,All,1,,,0,,,0,,,0
14,2024-06-24,751.28,,,0,Yes,All,1,,,0,,,0,No,Points,1
14,2024-06-25,792.74,,,0,,,0,,,0,,,0,No,Points,1
14,2024-06-26,888.04,,,0,,,0,,,0,,,0,No,Points,1
14,2024-06-27,865.52,Yes,Delivery,1,,,0,,,0,,,0,No,Points,1
14,2024-06-28,567.47,Yes,Delivery,1,,,0,,,0,,,0,No,Points,1
14,2024-06-29,301.11,Yes,Delivery,1,,,0,,,0,,,0,No,Points,1
14,2024-06-30,236.76,Yes,Delivery,1,,,0,,,0,,,0,No,Points,1
14,2024-07-01,499.46,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-07-02,774.2,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-07-03,826.59,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-07-04,161.8,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-07-05,575.36,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-07-06,299.89,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-07-07,328.88,Yes,Delivery,1,,,0,,,0,,,0,,,0
14,2024-07-08,572.59,,,0,,,0,,,0,,,0,,,0
14,2024-07-09,855.22,,,0,,,0,,,0,,,0,,,0
14,2024-07-10,748.56,,,0,,,0,No,LTOs,1,,,0,,,0
14,2024-07-11,1075.14,,,0,,,0,No,LTOs,1,,,0,,,0
14,2024-07-12,750.23,Yes,Delivery,1,,,0,No,LTOs,1,,,0,,,0
14,2024-07-13,416.0,Yes,Delivery,1,,,0,No,LTOs,1,,,0,,,0
14,2024-07-14,251.06,Yes,Delivery,1,,,0,No,LTOs,1,,,0,,,0
14,2024-07-15,1185.32,,,0,,,0,No,LTOs,1,,,0,No,Points,1
14,2024-07-16,790.93,,,0,,,0,,,0,,,0,No,Points,1
14,2024-07-17,1276.26,,,0,,,0,,,0,,,0,No,Points,1
14,2024-07-18,1367.03,,,0,,,0,,,0,,,0,No,Points,1
14,2024-07-19,1089.08,,,0,,,0,,,0,,,0,No,Points,1
14,2024-07-20,208.04,,,0,,,0,,,0,,,0,No,Points,1
14,2024-07-21,786.66,,,0,,,0,,,0,,,0,No,Points,1
14,2024-07-22,1014.6,,,0,,,0,,,0,,,0,,,0
14,2024-07-23,1012.59,,,0,,,0,Yes,Cookie'wich,1,,,0,,,0
14,2024-07-24,1289.58,,,0,,,0,,,0,,,0,,,0
14,2024-07-25,1144.18,,,0,,,0,,,0,,,0,,,0
14,2024-07-26,1494.46,,,0,,,0,,,0,,,0,,,0
14,2024-07-27,293.67,,,0,,,0,,,0,,,0,,,0
14,2024-07-28,214.0,,,0,,,0,,,0,,,0,,,0
14,2024-07-29,481.87,,,0,,,0,,,0,,,0,,,0
14,2024-07-30,698.77,,,0,,,0,,,0,,,0,,,0
14,2024-07-31,995.26,,,0,,,0,,,0,,,0,,,0
14,2024-08-01,1064.16,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-02,537.77,,,0,,,0,No,Cookie'wich,1,,,0,No,Points,1
14,2024-08-03,121.63,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-04,203.74,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-05,435.48,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-06,605.69,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-07,750.13,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-08,755.89,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-09,356.16,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-10,240.1,,,0,,,0,No,S'mores Cookie,1,,,0,No,Points,1
14,2024-08-11,115.51,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-12,456.26,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-13,437.76,Yes,Delivery,1,,,0,,,0,,,0,No,Points,1
14,2024-08-14,463.67,Yes,Delivery,1,,,0,,,0,,,0,No,Points,1
14,2024-08-15,528.06,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-16,476.9,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-17,393.26,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-18,489.61,,,0,,,0,,,0,,,0,No,Points,1
14,2024-08-19,314.33,,,0,,,0,No,Confetti Cookie,1,,,0,No,Points,1
